N=100000, MAXIT=50000, TOL=0.000100, PRINT_SKIP=100, GAUSS_SEIDEL=true
     k,      res,      solres
     19600, 315.522088,  28.867092
     19700, 315.520284,  28.867089
     19800, 315.518485,  28.867086
     19900, 315.516690,  28.867083
     20000, 315.514900,  28.867080
     20100, 315.513114,  28.867078
     20200, 315.511332,  28.867075
     20300, 315.509555,  28.867072
     20400, 315.507782,  28.867069
     20500, 315.506014,  28.867066
     20600, 315.504250,  28.867063
     20700, 315.502490,  28.867060
     20800, 315.500734,  28.867057
     20900, 315.498983,  28.867054
     21000, 315.497235,  28.867052
     21100, 315.495492,  28.867049
     21200, 315.493753,  28.867046
     21300, 315.492018,  28.867043
     21400, 315.490288,  28.867040
     21500, 315.488561,  28.867037
     21600, 315.486838,  28.867034
     21700, 315.485119,  28.867031
     21800, 315.483404,  28.867029
     21900, 315.481693,  28.867026
     22000, 315.479986,  28.867023
     22100, 315.478283,  28.867020
     22200, 315.476584,  28.867017
     22300, 315.474888,  28.867014
     22400, 315.473196,  28.867011
     22500, 315.471508,  28.867008
     22600, 315.469824,  28.867005
     22700, 315.468144,  28.867003
     22800, 315.466467,  28.867000
     22900, 315.464793,  28.866997
     23000, 315.463124,  28.866994
     23100, 315.461458,  28.866991
     23200, 315.459796,  28.866988
     23300, 315.458137,  28.866985
     23400, 315.456482,  28.866982
     23500, 315.454830,  28.866979
     23600, 315.453182,  28.866977
     23700, 315.451537,  28.866974
     23800, 315.449896,  28.866971
     23900, 315.448258,  28.866968
     24000, 315.446623,  28.866965
     24100, 315.444992,  28.866962
     24200, 315.443365,  28.866959
     24300, 315.441740,  28.866956
     24400, 315.440119,  28.866953
     24500, 315.438502,  28.866951
     24600, 315.436887,  28.866948
     24700, 315.435276,  28.866945
     24800, 315.433668,  28.866942
     24900, 315.432064,  28.866939
     25000, 315.430462,  28.866936
     25100, 315.428864,  28.866933
     25200, 315.427269,  28.866930
     25300, 315.425677,  28.866927
     25400, 315.424089,  28.866925
     25500, 315.422503,  28.866922
     25600, 315.420920,  28.866919
     25700, 315.419341,  28.866916
     25800, 315.417764,  28.866913
     25900, 315.416191,  28.866910
     26000, 315.414621,  28.866907
     26100, 315.413053,  28.866904
     26200, 315.411489,  28.866901
     26300, 315.409928,  28.866899
     26400, 315.408369,  28.866896
     26500, 315.406814,  28.866893
     26600, 315.405261,  28.866890
     26700, 315.403712,  28.866887
     26800, 315.402165,  28.866884
     26900, 315.400621,  28.866881
     27000, 315.399080,  28.866878
     27100, 315.397542,  28.866876
     27200, 315.396007,  28.866873
     27300, 315.394474,  28.866870
     27400, 315.392944,  28.866867
     27500, 315.391418,  28.866864
     27600, 315.389893,  28.866861
     27700, 315.388372,  28.866858
     27800, 315.386853,  28.866855
     27900, 315.385337,  28.866852
     28000, 315.383824,  28.866850
     28100, 315.382313,  28.866847
     28200, 315.380806,  28.866844
     28300, 315.379300,  28.866841
     28400, 315.377798,  28.866838
     28500, 315.376298,  28.866835
     28600, 315.374801,  28.866832
     28700, 315.373306,  28.866829
     28800, 315.371814,  28.866826
     28900, 315.370324,  28.866824
     29000, 315.368837,  28.866821
     29100, 315.367353,  28.866818
     29200, 315.365871,  28.866815
     29300, 315.364392,  28.866812
     29400, 315.362915,  28.866809
     29500, 315.361441,  28.866806
     29600, 315.359969,  28.866803
     29700, 315.358499,  28.866800
     29800, 315.357033,  28.866798
     29900, 315.355568,  28.866795
     30000, 315.354106,  28.866792
     30100, 315.352647,  28.866789
     30200, 315.351189,  28.866786
     30300, 315.349735,  28.866783
     30400, 315.348282,  28.866780
     30500, 315.346832,  28.866777
     30600, 315.345385,  28.866774
     30700, 315.343939,  28.866772
     30800, 315.342497,  28.866769
     30900, 315.341056,  28.866766
     31000, 315.339618,  28.866763
     31100, 315.338182,  28.866760
     31200, 315.336748,  28.866757
     31300, 315.335317,  28.866754
     31400, 315.333888,  28.866751
     31500, 315.332461,  28.866749
     31600, 315.331036,  28.866746
     31700, 315.329614,  28.866743
     31800, 315.328194,  28.866740
     31900, 315.326776,  28.866737
     32000, 315.325361,  28.866734
     32100, 315.323947,  28.866731
     32200, 315.322536,  28.866728
     32300, 315.321127,  28.866725
     32400, 315.319720,  28.866723
     32500, 315.318315,  28.866720
     32600, 315.316913,  28.866717
     32700, 315.315512,  28.866714
     32800, 315.314114,  28.866711
     32900, 315.312718,  28.866708
     33000, 315.311324,  28.866705
     33100, 315.309932,  28.866702
     33200, 315.308542,  28.866699
     33300, 315.307154,  28.866697
     33400, 315.305769,  28.866694
     33500, 315.304385,  28.866691
     33600, 315.303004,  28.866688
     33700, 315.301624,  28.866685
     33800, 315.300247,  28.866682
     33900, 315.298871,  28.866679
     34000, 315.297498,  28.866676
     34100, 315.296126,  28.866673
     34200, 315.294757,  28.866671
     34300, 315.293390,  28.866668
     34400, 315.292024,  28.866665
     34500, 315.290661,  28.866662
     34600, 315.289299,  28.866659
     34700, 315.287940,  28.866656
     34800, 315.286582,  28.866653
     34900, 315.285227,  28.866650
     35000, 315.283873,  28.866647
     35100, 315.282521,  28.866645
     35200, 315.281171,  28.866642
     35300, 315.279823,  28.866639
     35400, 315.278477,  28.866636
     35500, 315.277133,  28.866633
     35600, 315.275791,  28.866630
     35700, 315.274451,  28.866627
     35800, 315.273112,  28.866624
     35900, 315.271776,  28.866621
     36000, 315.270441,  28.866619
     36100, 315.269108,  28.866616
     36200, 315.267777,  28.866613
     36300, 315.266447,  28.866610
     36400, 315.265120,  28.866607
     36500, 315.263794,  28.866604
     36600, 315.262471,  28.866601
     36700, 315.261149,  28.866598
     36800, 315.259828,  28.866596
     36900, 315.258510,  28.866593
     37000, 315.257193,  28.866590
     37100, 315.255878,  28.866587
     37200, 315.254565,  28.866584
     37300, 315.253254,  28.866581
     37400, 315.251944,  28.866578
     37500, 315.250637,  28.866575
     37600, 315.249330,  28.866572
     37700, 315.248026,  28.866570
     37800, 315.246723,  28.866567
     37900, 315.245422,  28.866564
     38000, 315.244123,  28.866561
     38100, 315.242826,  28.866558
     38200, 315.241530,  28.866555
     38300, 315.240236,  28.866552
     38400, 315.238943,  28.866549
     38500, 315.237652,  28.866546
     38600, 315.236363,  28.866544
     38700, 315.235076,  28.866541
     38800, 315.233790,  28.866538
     38900, 315.232506,  28.866535
     39000, 315.231223,  28.866532
     39100, 315.229943,  28.866529
     39200, 315.228663,  28.866526
     39300, 315.227386,  28.866523
     39400, 315.226110,  28.866520
     39500, 315.224835,  28.866518
     39600, 315.223563,  28.866515
     39700, 315.222291,  28.866512
     39800, 315.221022,  28.866509
     39900, 315.219754,  28.866506
     40000, 315.218487,  28.866503
     40100, 315.217223,  28.866500
     40200, 315.215959,  28.866497
     40300, 315.214698,  28.866494
     40400, 315.213438,  28.866492
     40500, 315.212179,  28.866489
     40600, 315.210922,  28.866486
     40700, 315.209666,  28.866483
     40800, 315.208413,  28.866480
     40900, 315.207160,  28.866477
     41000, 315.205909,  28.866474
     41100, 315.204660,  28.866471
     41200, 315.203412,  28.866469
     41300, 315.202166,  28.866466
     41400, 315.200921,  28.866463
     41500, 315.199677,  28.866460
     41600, 315.198436,  28.866457
     41700, 315.197195,  28.866454
     41800, 315.195956,  28.866451
     41900, 315.194719,  28.866448
     42000, 315.193483,  28.866445
     42100, 315.192249,  28.866443
     42200, 315.191016,  28.866440
     42300, 315.189784,  28.866437
     42400, 315.188554,  28.866434
     42500, 315.187325,  28.866431
     42600, 315.186098,  28.866428
     42700, 315.184872,  28.866425
     42800, 315.183648,  28.866422
     42900, 315.182425,  28.866419
     43000, 315.181203,  28.866417
     43100, 315.179983,  28.866414
