N=1000, MAXIT=50000, TOL=0.000100, PRINT_SKIP=100, GAUSS_SEIDEL=false
     k,      res,      solres
         0,  31.622777,   2.888194
       100,  31.279454,   2.886754
       200,  31.129804,   2.885314
       300,  31.014441,   2.883875
       400,  30.916836,   2.882437
       500,  30.830581,   2.881000
       600,  30.752389,   2.879564
       700,  30.680305,   2.878129
       800,  30.613057,   2.876695
       900,  30.549760,   2.875262
      1000,  30.489771,   2.873829
      1100,  30.432602,   2.872398
      1200,  30.377878,   2.870967
      1300,  30.325296,   2.869538
      1400,  30.274615,   2.868109
      1500,  30.225632,   2.866681
      1600,  30.178181,   2.865254
      1700,  30.132120,   2.863828
      1800,  30.087326,   2.862403
      1900,  30.043697,   2.860978
      2000,  30.001140,   2.859555
      2100,  29.959576,   2.858132
      2200,  29.918934,   2.856710
      2300,  29.879153,   2.855289
      2400,  29.840176,   2.853869
      2500,  29.801954,   2.852450
      2600,  29.764441,   2.851031
      2700,  29.727596,   2.849614
      2800,  29.691383,   2.848197
      2900,  29.655769,   2.846781
      3000,  29.620721,   2.845366
      3100,  29.586212,   2.843952
      3200,  29.552216,   2.842538
      3300,  29.518709,   2.841126
      3400,  29.485669,   2.839714
      3500,  29.453075,   2.838303
      3600,  29.420908,   2.836893
      3700,  29.389150,   2.835483
      3800,  29.357784,   2.834075
      3900,  29.326796,   2.832667
      4000,  29.296171,   2.831260
      4100,  29.265894,   2.829854
      4200,  29.235954,   2.828449
      4300,  29.206338,   2.827045
      4400,  29.177034,   2.825641
      4500,  29.148033,   2.824238
      4600,  29.119324,   2.822836
      4700,  29.090898,   2.821435
      4800,  29.062745,   2.820034
      4900,  29.034856,   2.818635
      5000,  29.007225,   2.817236
      5100,  28.979842,   2.815838
      5200,  28.952702,   2.814441
      5300,  28.925795,   2.813044
      5400,  28.899117,   2.811649
      5500,  28.872660,   2.810254
      5600,  28.846419,   2.808860
      5700,  28.820388,   2.807466
      5800,  28.794560,   2.806074
      5900,  28.768932,   2.804682
      6000,  28.743497,   2.803291
      6100,  28.718251,   2.801901
      6200,  28.693189,   2.800511
      6300,  28.668307,   2.799123
      6400,  28.643600,   2.797735
      6500,  28.619064,   2.796348
      6600,  28.594696,   2.794961
      6700,  28.570490,   2.793576
      6800,  28.546445,   2.792191
      6900,  28.522556,   2.790807
      7000,  28.498819,   2.789424
      7100,  28.475232,   2.788041
      7200,  28.451790,   2.786659
      7300,  28.428492,   2.785278
      7400,  28.405335,   2.783898
      7500,  28.382314,   2.782519
      7600,  28.359428,   2.781140
      7700,  28.336673,   2.779762
      7800,  28.314048,   2.778385
      7900,  28.291549,   2.777009
      8000,  28.269175,   2.775633
      8100,  28.246922,   2.774258
      8200,  28.224789,   2.772884
      8300,  28.202774,   2.771510
      8400,  28.180873,   2.770138
      8500,  28.159086,   2.768766
      8600,  28.137409,   2.767395
      8700,  28.115842,   2.766024
      8800,  28.094382,   2.764654
      8900,  28.073027,   2.763286
      9000,  28.051776,   2.761917
      9100,  28.030626,   2.760550
      9200,  28.009577,   2.759183
      9300,  27.988626,   2.757817
      9400,  27.967772,   2.756452
      9500,  27.947013,   2.755087
      9600,  27.926347,   2.753724
      9700,  27.905774,   2.752361
      9800,  27.885291,   2.750998
      9900,  27.864898,   2.749637
     10000,  27.844593,   2.748276
     10100,  27.824374,   2.746916
     10200,  27.804240,   2.745557
     10300,  27.784191,   2.744198
     10400,  27.764224,   2.742840
     10500,  27.744339,   2.741483
     10600,  27.724534,   2.740126
     10700,  27.704808,   2.738771
     10800,  27.685160,   2.737416
     10900,  27.665589,   2.736061
     11000,  27.646094,   2.734708
     11100,  27.626673,   2.733355
     11200,  27.607327,   2.732003
     11300,  27.588053,   2.730651
     11400,  27.568850,   2.729301
     11500,  27.549719,   2.727951
     11600,  27.530657,   2.726602
     11700,  27.511664,   2.725253
     11800,  27.492739,   2.723905
     11900,  27.473881,   2.722558
     12000,  27.455089,   2.721212
     12100,  27.436363,   2.719866
