 Dimension       Time    Gflop/s       GB/s
        20   0.006135   0.260795   4.172718
        40   0.044454   0.287936   4.606981
        60   0.128226   0.336906   5.390499
        80   0.309385   0.330979   5.295664
       100   0.602300   0.332060   5.312964
       120   1.038892   0.332662   5.322591
       140   1.649650   0.332677   5.322825
       160   2.517526   0.325399   5.206381
       180   3.513868   0.331942   5.311070
       200   4.933006   0.324346   5.189534
       220   6.500993   0.327581   5.241292
       240   8.637522   0.320092   5.121469
       260  10.777099   0.326173   5.218770
       280  13.392042   0.327836   5.245384
       300  16.478313   0.327703   5.243255
