N=1000, MAXIT=50000, TOL=0.000100, PRINT_SKIP=100, GAUSS_SEIDEL=true
     k,      res,      solres
         0,  31.622777,   2.888194
       100,  31.130874,   2.885314
       200,  30.917608,   2.882437
       300,  30.753027,   2.879564
       400,  30.613614,   2.876695
       500,  30.490272,   2.873830
       600,  30.378338,   2.870968
       700,  30.275043,   2.868109
       800,  30.178583,   2.865254
       900,  30.087707,   2.862403
      1000,  30.001502,   2.859555
      1100,  29.919281,   2.856710
      1200,  29.840509,   2.853869
      1300,  29.764762,   2.851032
      1400,  29.691694,   2.848197
      1500,  29.621022,   2.845366
      1600,  29.552508,   2.842539
      1700,  29.485953,   2.839714
      1800,  29.421184,   2.836893
      1900,  29.358054,   2.834075
      2000,  29.296434,   2.831261
      2100,  29.236212,   2.828450
      2200,  29.177287,   2.825641
      2300,  29.119572,   2.822837
      2400,  29.062988,   2.820035
      2500,  29.007463,   2.817237
      2600,  28.952936,   2.814441
      2700,  28.899348,   2.811649
      2800,  28.846646,   2.808860
      2900,  28.794783,   2.806074
      3000,  28.743717,   2.803292
      3100,  28.693406,   2.800512
      3200,  28.643813,   2.797735
      3300,  28.594906,   2.794962
      3400,  28.546653,   2.792192
      3500,  28.499024,   2.789424
      3600,  28.451993,   2.786660
      3700,  28.405535,   2.783899
      3800,  28.359626,   2.781141
      3900,  28.314244,   2.778386
      4000,  28.269369,   2.775634
      4100,  28.224981,   2.772885
      4200,  28.181063,   2.770139
      4300,  28.137597,   2.767396
      4400,  28.094568,   2.764655
      4500,  28.051960,   2.761918
      4600,  28.009760,   2.759184
      4700,  27.967953,   2.756453
      4800,  27.926526,   2.753725
      4900,  27.885469,   2.750999
      5000,  27.844769,   2.748277
      5100,  27.804415,   2.745558
      5200,  27.764397,   2.742841
      5300,  27.724706,   2.740127
      5400,  27.685330,   2.737417
      5500,  27.646263,   2.734709
      5600,  27.607495,   2.732004
      5700,  27.569017,   2.729302
      5800,  27.530822,   2.726603
      5900,  27.492903,   2.723906
      6000,  27.455253,   2.721213
      6100,  27.417863,   2.718522
      6200,  27.380729,   2.715835
      6300,  27.343843,   2.713150
      6400,  27.307199,   2.710468
      6500,  27.270792,   2.707788
      6600,  27.234616,   2.705112
      6700,  27.198665,   2.702438
      6800,  27.162935,   2.699768
      6900,  27.127419,   2.697100
      7000,  27.092114,   2.694434
      7100,  27.057015,   2.691772
      7200,  27.022117,   2.689112
      7300,  26.987416,   2.686456
      7400,  26.952908,   2.683802
      7500,  26.918588,   2.681150
      7600,  26.884453,   2.678502
      7700,  26.850499,   2.675856
      7800,  26.816722,   2.673213
      7900,  26.783119,   2.670573
      8000,  26.749686,   2.667935
      8100,  26.716419,   2.665301
      8200,  26.683317,   2.662668
      8300,  26.650375,   2.660039
      8400,  26.617590,   2.657413
      8500,  26.584960,   2.654789
      8600,  26.552481,   2.652168
      8700,  26.520152,   2.649549
      8800,  26.487968,   2.646933
      8900,  26.455928,   2.644320
      9000,  26.424030,   2.641710
      9100,  26.392269,   2.639102
      9200,  26.360645,   2.636497
      9300,  26.329154,   2.633895
      9400,  26.297795,   2.631295
      9500,  26.266565,   2.628698
      9600,  26.235463,   2.626104
      9700,  26.204485,   2.623512
      9800,  26.173630,   2.620923
      9900,  26.142896,   2.618337
     10000,  26.112281,   2.615753
     10100,  26.081783,   2.613172
     10200,  26.051400,   2.610594
     10300,  26.021131,   2.608018
     10400,  25.990973,   2.605445
     10500,  25.960925,   2.602875
     10600,  25.930986,   2.600307
     10700,  25.901153,   2.597741
     10800,  25.871425,   2.595179
     10900,  25.841800,   2.592619
     11000,  25.812278,   2.590061
     11100,  25.782855,   2.587507
     11200,  25.753532,   2.584954
     11300,  25.724306,   2.582405
     11400,  25.695176,   2.579858
     11500,  25.666141,   2.577313
     11600,  25.637199,   2.574771
     11700,  25.608350,   2.572232
     11800,  25.579591,   2.569695
     11900,  25.550922,   2.567161
     12000,  25.522341,   2.564629
     12100,  25.493848,   2.562100
     12200,  25.465440,   2.559574
     12300,  25.437117,   2.557050
     12400,  25.408878,   2.554529
     12500,  25.380721,   2.552010
     12600,  25.352646,   2.549494
     12700,  25.324652,   2.546980
     12800,  25.296736,   2.544469
     12900,  25.268900,   2.541960
     13000,  25.241140,   2.539454
     13100,  25.213458,   2.536950
     13200,  25.185850,   2.534449
     13300,  25.158317,   2.531951
     13400,  25.130858,   2.529454
     13500,  25.103472,   2.526961
     13600,  25.076157,   2.524470
     13700,  25.048914,   2.521981
     13800,  25.021740,   2.519495
     13900,  24.994636,   2.517012
     14000,  24.967600,   2.514531
     14100,  24.940633,   2.512052
     14200,  24.913731,   2.509576
     14300,  24.886897,   2.507103
     14400,  24.860127,   2.504632
     14500,  24.833422,   2.502163
     14600,  24.806781,   2.499697
     14700,  24.780203,   2.497233
     14800,  24.753688,   2.494772
     14900,  24.727234,   2.492313
     15000,  24.700842,   2.489857
     15100,  24.674509,   2.487403
     15200,  24.648237,   2.484952
     15300,  24.622024,   2.482503
     15400,  24.595869,   2.480057
     15500,  24.569773,   2.477613
     15600,  24.543733,   2.475171
     15700,  24.517750,   2.472732
     15800,  24.491824,   2.470296
     15900,  24.465952,   2.467861
     16000,  24.440136,   2.465430
     16100,  24.414374,   2.463000
     16200,  24.388666,   2.460573
     16300,  24.363012,   2.458149
     16400,  24.337410,   2.455727
     16500,  24.311860,   2.453307
     16600,  24.286362,   2.450890
     16700,  24.260915,   2.448475
     16800,  24.235519,   2.446063
     16900,  24.210173,   2.443653
     17000,  24.184878,   2.441245
     17100,  24.159631,   2.438840
     17200,  24.134433,   2.436437
     17300,  24.109284,   2.434037
     17400,  24.084182,   2.431639
     17500,  24.059128,   2.429243
     17600,  24.034121,   2.426850
     17700,  24.009161,   2.424459
     17800,  23.984247,   2.422071
     17900,  23.959379,   2.419684
     18000,  23.934556,   2.417301
     18100,  23.909779,   2.414919
     18200,  23.885045,   2.412540
     18300,  23.860357,   2.410164
     18400,  23.835712,   2.407789
     18500,  23.811110,   2.405418
     18600,  23.786552,   2.403048
     18700,  23.762036,   2.400681
     18800,  23.737563,   2.398316
     18900,  23.713132,   2.395954
     19000,  23.688742,   2.393593
     19100,  23.664394,   2.391236
     19200,  23.640088,   2.388880
     19300,  23.615821,   2.386527
     19400,  23.591595,   2.384176
     19500,  23.567410,   2.381828
     19600,  23.543264,   2.379482
     19700,  23.519157,   2.377138
     19800,  23.495090,   2.374797
     19900,  23.471062,   2.372458
     20000,  23.447072,   2.370121
     20100,  23.423120,   2.367786
     20200,  23.399207,   2.365454
     20300,  23.375331,   2.363124
     20400,  23.351493,   2.360797
     20500,  23.327692,   2.358472
     20600,  23.303927,   2.356149
     20700,  23.280200,   2.353828
     20800,  23.256509,   2.351510
     20900,  23.232854,   2.349194
     21000,  23.209235,   2.346880
     21100,  23.185651,   2.344569
     21200,  23.162103,   2.342259
     21300,  23.138590,   2.339953
     21400,  23.115112,   2.337648
     21500,  23.091669,   2.335346
     21600,  23.068260,   2.333046
     21700,  23.044886,   2.330748
     21800,  23.021546,   2.328453
     21900,  22.998239,   2.326159
     22000,  22.974966,   2.323869
     22100,  22.951727,   2.321580
     22200,  22.928520,   2.319294
     22300,  22.905347,   2.317009
     22400,  22.882206,   2.314728
     22500,  22.859098,   2.312448
     22600,  22.836023,   2.310171
     22700,  22.812979,   2.307896
     22800,  22.789968,   2.305623
     22900,  22.766988,   2.303352
     23000,  22.744040,   2.301084
     23100,  22.721124,   2.298818
     23200,  22.698238,   2.296554
     23300,  22.675384,   2.294292
     23400,  22.652561,   2.292033
     23500,  22.629769,   2.289776
     23600,  22.607007,   2.287521
     23700,  22.584275,   2.285268
     23800,  22.561574,   2.283018
     23900,  22.538903,   2.280770
     24000,  22.516262,   2.278524
     24100,  22.493651,   2.276280
     24200,  22.471069,   2.274039
     24300,  22.448517,   2.271799
     24400,  22.425994,   2.269562
     24500,  22.403501,   2.267327
     24600,  22.381036,   2.265094
     24700,  22.358600,   2.262864
     24800,  22.336193,   2.260636
     24900,  22.313815,   2.258410
     25000,  22.291465,   2.256186
     25100,  22.269144,   2.253964
     25200,  22.246850,   2.251745
     25300,  22.224585,   2.249527
     25400,  22.202348,   2.247312
     25500,  22.180138,   2.245099
     25600,  22.157957,   2.242888
     25700,  22.135802,   2.240680
     25800,  22.113676,   2.238474
     25900,  22.091576,   2.236269
     26000,  22.069504,   2.234067
     26100,  22.047459,   2.231868
     26200,  22.025441,   2.229670
     26300,  22.003450,   2.227474
     26400,  21.981485,   2.225281
     26500,  21.959547,   2.223090
     26600,  21.937636,   2.220901
     26700,  21.915751,   2.218714
     26800,  21.893892,   2.216529
     26900,  21.872060,   2.214347
     27000,  21.850254,   2.212166
     27100,  21.828473,   2.209988
     27200,  21.806719,   2.207812
     27300,  21.784990,   2.205638
     27400,  21.763288,   2.203466
     27500,  21.741610,   2.201297
     27600,  21.719959,   2.199129
     27700,  21.698332,   2.196964
     27800,  21.676731,   2.194801
     27900,  21.655156,   2.192640
     28000,  21.633605,   2.190481
     28100,  21.612079,   2.188324
     28200,  21.590579,   2.186169
     28300,  21.569103,   2.184017
     28400,  21.547652,   2.181866
     28500,  21.526226,   2.179718
     28600,  21.504824,   2.177572
     28700,  21.483447,   2.175428
     28800,  21.462095,   2.173286
     28900,  21.440767,   2.171146
     29000,  21.419463,   2.169008
     29100,  21.398183,   2.166872
     29200,  21.376927,   2.164739
     29300,  21.355696,   2.162608
     29400,  21.334489,   2.160478
     29500,  21.313305,   2.158351
     29600,  21.292145,   2.156226
     29700,  21.271009,   2.154103
     29800,  21.249897,   2.151982
     29900,  21.228808,   2.149863
     30000,  21.207743,   2.147746
     30100,  21.186702,   2.145632
     30200,  21.165683,   2.143519
     30300,  21.144689,   2.141409
     30400,  21.123717,   2.139300
     30500,  21.102769,   2.137194
     30600,  21.081844,   2.135090
     30700,  21.060941,   2.132987
     30800,  21.040062,   2.130887
     30900,  21.019206,   2.128789
     31000,  20.998373,   2.126693
     31100,  20.977563,   2.124599
     31200,  20.956775,   2.122508
     31300,  20.936010,   2.120418
     31400,  20.915268,   2.118330
     31500,  20.894548,   2.116244
     31600,  20.873851,   2.114161
     31700,  20.853176,   2.112079
     31800,  20.832524,   2.110000
     31900,  20.811894,   2.107922
     32000,  20.791287,   2.105847
     32100,  20.770701,   2.103774
     32200,  20.750138,   2.101702
     32300,  20.729597,   2.099633
     32400,  20.709078,   2.097566
     32500,  20.688581,   2.095501
     32600,  20.668107,   2.093437
     32700,  20.647654,   2.091376
     32800,  20.627223,   2.089317
     32900,  20.606813,   2.087260
     33000,  20.586426,   2.085205
     33100,  20.566060,   2.083152
     33200,  20.545716,   2.081101
     33300,  20.525394,   2.079052
     33400,  20.505093,   2.077005
     33500,  20.484814,   2.074960
     33600,  20.464556,   2.072917
     33700,  20.444320,   2.070876
     33800,  20.424105,   2.068838
     33900,  20.403911,   2.066801
     34000,  20.383739,   2.064766
     34100,  20.363588,   2.062733
     34200,  20.343458,   2.060702
     34300,  20.323350,   2.058673
     34400,  20.303262,   2.056646
     34500,  20.283196,   2.054621
     34600,  20.263151,   2.052599
     34700,  20.243126,   2.050578
     34800,  20.223123,   2.048559
     34900,  20.203141,   2.046542
     35000,  20.183179,   2.044527
     35100,  20.163238,   2.042514
     35200,  20.143319,   2.040503
     35300,  20.123419,   2.038494
     35400,  20.103541,   2.036487
     35500,  20.083683,   2.034482
     35600,  20.063846,   2.032479
     35700,  20.044030,   2.030478
     35800,  20.024234,   2.028479
     35900,  20.004459,   2.026482
     36000,  19.984704,   2.024487
     36100,  19.964969,   2.022494
     36200,  19.945255,   2.020502
     36300,  19.925562,   2.018513
     36400,  19.905888,   2.016526
     36500,  19.886235,   2.014540
     36600,  19.866603,   2.012557
     36700,  19.846990,   2.010576
     36800,  19.827398,   2.008596
     36900,  19.807826,   2.006619
     37000,  19.788274,   2.004643
     37100,  19.768742,   2.002669
     37200,  19.749230,   2.000698
     37300,  19.729738,   1.998728
     37400,  19.710267,   1.996760
     37500,  19.690815,   1.994794
     37600,  19.671383,   1.992830
     37700,  19.651971,   1.990868
     37800,  19.632579,   1.988908
     37900,  19.613207,   1.986950
     38000,  19.593854,   1.984994
     38100,  19.574521,   1.983040
     38200,  19.555209,   1.981087
     38300,  19.535915,   1.979137
     38400,  19.516642,   1.977188
     38500,  19.497388,   1.975242
     38600,  19.478154,   1.973297
     38700,  19.458939,   1.971354
     38800,  19.439744,   1.969413
     38900,  19.420568,   1.967474
     39000,  19.401412,   1.965537
     39100,  19.382275,   1.963602
     39200,  19.363158,   1.961669
     39300,  19.344060,   1.959738
     39400,  19.324982,   1.957808
     39500,  19.305923,   1.955881
     39600,  19.286883,   1.953955
     39700,  19.267863,   1.952032
     39800,  19.248861,   1.950110
     39900,  19.229879,   1.948190
     40000,  19.210917,   1.946272
     40100,  19.191973,   1.944356
     40200,  19.173049,   1.942441
     40300,  19.154143,   1.940529
     40400,  19.135257,   1.938618
     40500,  19.116390,   1.936710
     40600,  19.097542,   1.934803
     40700,  19.078713,   1.932898
     40800,  19.059903,   1.930995
     40900,  19.041112,   1.929094
     41000,  19.022340,   1.927195
     41100,  19.003587,   1.925298
     41200,  18.984852,   1.923402
     41300,  18.966137,   1.921508
     41400,  18.947440,   1.919617
     41500,  18.928762,   1.917727
     41600,  18.910103,   1.915839
     41700,  18.891463,   1.913953
     41800,  18.872842,   1.912068
     41900,  18.854239,   1.910186
     42000,  18.835655,   1.908305
     42100,  18.817089,   1.906426
     42200,  18.798543,   1.904550
     42300,  18.780014,   1.902674
     42400,  18.761505,   1.900801
     42500,  18.743014,   1.898930
     42600,  18.724541,   1.897060
     42700,  18.706087,   1.895193
     42800,  18.687652,   1.893327
     42900,  18.669235,   1.891463
     43000,  18.650836,   1.889601
     43100,  18.632456,   1.887740
     43200,  18.614094,   1.885882
     43300,  18.595751,   1.884025
     43400,  18.577426,   1.882170
     43500,  18.559119,   1.880317
     43600,  18.540831,   1.878466
     43700,  18.522561,   1.876617
     43800,  18.504309,   1.874769
     43900,  18.486076,   1.872923
     44000,  18.467860,   1.871079
     44100,  18.449663,   1.869237
     44200,  18.431484,   1.867397
     44300,  18.413323,   1.865559
     44400,  18.395181,   1.863722
     44500,  18.377056,   1.861887
     44600,  18.358950,   1.860054
     44700,  18.340861,   1.858223
     44800,  18.322791,   1.856393
     44900,  18.304738,   1.854566
     45000,  18.286704,   1.852740
     45100,  18.268688,   1.850916
     45200,  18.250689,   1.849094
     45300,  18.232709,   1.847273
     45400,  18.214746,   1.845454
     45500,  18.196802,   1.843638
     45600,  18.178875,   1.841823
     45700,  18.160966,   1.840009
     45800,  18.143075,   1.838198
     45900,  18.125201,   1.836388
     46000,  18.107346,   1.834580
     46100,  18.089508,   1.832774
     46200,  18.071688,   1.830970
     46300,  18.053886,   1.829167
     46400,  18.036101,   1.827366
     46500,  18.018334,   1.825567
     46600,  18.000585,   1.823770
     46700,  17.982853,   1.821974
     46800,  17.965139,   1.820180
     46900,  17.947443,   1.818388
     47000,  17.929764,   1.816598
     47100,  17.912103,   1.814810
     47200,  17.894459,   1.813023
     47300,  17.876833,   1.811238
     47400,  17.859224,   1.809455
     47500,  17.841633,   1.807674
     47600,  17.824059,   1.805894
     47700,  17.806503,   1.804116
     47800,  17.788964,   1.802340
     47900,  17.771443,   1.800565
     48000,  17.753939,   1.798793
     48100,  17.736452,   1.797022
     48200,  17.718983,   1.795253
     48300,  17.701531,   1.793485
     48400,  17.684096,   1.791719
     48500,  17.666679,   1.789955
     48600,  17.649279,   1.788193
     48700,  17.631896,   1.786433
     48800,  17.614530,   1.784674
     48900,  17.597182,   1.782917
     49000,  17.579850,   1.781162
     49100,  17.562536,   1.779408
     49200,  17.545240,   1.777656
     49300,  17.527960,   1.775906
     49400,  17.510697,   1.774158
     49500,  17.493452,   1.772411
     49600,  17.476223,   1.770666
     49700,  17.459012,   1.768923
     49800,  17.441817,   1.767181
     49900,  17.424640,   1.765442
     50000,  17.407480,   1.763704
time = 1.789793
