N=100, MAXIT=50000, TOL=0.000100, PRINT_SKIP=100, GAUSS_SEIDEL=true
     k,      res,      solres
         0,  10.000000,   0.917411
       100,   8.314526,   0.832383
       200,   7.477279,   0.755568
       300,   6.774662,   0.685899
       400,   6.147807,   0.622661
       500,   5.580820,   0.565251
       600,   5.066431,   0.513131
       700,   4.599460,   0.465814
       800,   4.175484,   0.422858
       900,   3.790545,   0.383861
      1000,   3.441059,   0.348460
      1100,   3.123769,   0.316323
      1200,   2.835716,   0.287150
      1300,   2.574212,   0.260666
      1400,   2.336815,   0.236625
      1500,   2.121304,   0.214801
      1600,   1.925664,   0.194990
      1700,   1.748064,   0.177006
      1800,   1.586842,   0.160680
      1900,   1.440488,   0.145860
      2000,   1.307631,   0.132407
      2100,   1.187027,   0.120195
      2200,   1.077546,   0.109109
      2300,   0.978162,   0.099046
      2400,   0.887944,   0.089911
      2500,   0.806048,   0.081618
      2600,   0.731704,   0.074090
      2700,   0.664217,   0.067257
      2800,   0.602955,   0.061053
      2900,   0.547343,   0.055422
      3000,   0.496860,   0.050311
      3100,   0.451034,   0.045670
      3200,   0.409434,   0.041458
      3300,   0.371671,   0.037634
      3400,   0.337391,   0.034163
      3500,   0.306272,   0.031012
      3600,   0.278024,   0.028152
      3700,   0.252381,   0.025555
      3800,   0.229104,   0.023198
      3900,   0.207973,   0.021059
      4000,   0.188791,   0.019116
      4100,   0.171378,   0.017353
      4200,   0.155572,   0.015753
      4300,   0.141223,   0.014300
      4400,   0.128198,   0.012981
      4500,   0.116374,   0.011784
      4600,   0.105640,   0.010697
      4700,   0.095897,   0.009710
      4800,   0.087052,   0.008815
      4900,   0.079023,   0.008002
      5000,   0.071734,   0.007264
      5100,   0.065118,   0.006594
      5200,   0.059112,   0.005986
      5300,   0.053660,   0.005433
      5400,   0.048711,   0.004932
      5500,   0.044218,   0.004477
      5600,   0.040140,   0.004064
      5700,   0.036438,   0.003690
      5800,   0.033077,   0.003349
      5900,   0.030026,   0.003040
      6000,   0.027257,   0.002760
      6100,   0.024743,   0.002505
      6200,   0.022461,   0.002274
      6300,   0.020389,   0.002065
      6400,   0.018509,   0.001874
      6500,   0.016801,   0.001701
      6600,   0.015252,   0.001544
      6700,   0.013845,   0.001402
      6800,   0.012568,   0.001273
      6900,   0.011409,   0.001155
      7000,   0.010357,   0.001049
      7100,   0.009401,   0.000952
      7200,   0.008534,   0.000864
      7300,   0.007747,   0.000784
      7400,   0.007033,   0.000712
      7500,   0.006384,   0.000646
      7600,   0.005795,   0.000587
      7700,   0.005261,   0.000533
      7800,   0.004775,   0.000484
      7900,   0.004335,   0.000439
      8000,   0.003935,   0.000398
      8100,   0.003572,   0.000362
      8200,   0.003243,   0.000328
      8300,   0.002944,   0.000298
      8400,   0.002672,   0.000271
      8500,   0.002426,   0.000246
      8600,   0.002202,   0.000223
      8700,   0.001999,   0.000202
      8800,   0.001815,   0.000184
      8900,   0.001647,   0.000167
      9000,   0.001495,   0.000151
      9100,   0.001357,   0.000137
      9200,   0.001232,   0.000125
      9300,   0.001119,   0.000113
      9400,   0.001015,   0.000103
      9416,   0.001000,   0.000101
time = 0.034974
