N=100000, MAXIT=50000, TOL=0.000100, PRINT_SKIP=100, GAUSS_SEIDEL=false
     k,      res,      solres
         0, 316.227766,  28.867658
       100, 316.193618,  28.867656
       200, 316.178849,  28.867655
       300, 316.167512,  28.867653
       400, 316.157952,  28.867652
       500, 316.149529,  28.867651
       600, 316.141913,  28.867649
       700, 316.134910,  28.867648
       800, 316.128390,  28.867646
       900, 316.122267,  28.867645
      1000, 316.116476,  28.867643
      1100, 316.110967,  28.867642
      1200, 316.105703,  28.867640
      1300, 316.100654,  28.867639
      1400, 316.095796,  28.867638
      1500, 316.091108,  28.867636
      1600, 316.086575,  28.867635
      1700, 316.082180,  28.867633
      1800, 316.077913,  28.867632
      1900, 316.073763,  28.867630
      2000, 316.069721,  28.867629
      2100, 316.065778,  28.867627
      2200, 316.061928,  28.867626
      2300, 316.058165,  28.867625
      2400, 316.054483,  28.867623
      2500, 316.050876,  28.867622
      2600, 316.047341,  28.867620
      2700, 316.043873,  28.867619
      2800, 316.040469,  28.867617
      2900, 316.037125,  28.867616
      3000, 316.033839,  28.867614
      3100, 316.030606,  28.867613
      3200, 316.027425,  28.867612
      3300, 316.024294,  28.867610
      3400, 316.021209,  28.867609
      3500, 316.018170,  28.867607
      3600, 316.015173,  28.867606
      3700, 316.012218,  28.867604
      3800, 316.009303,  28.867603
      3900, 316.006426,  28.867602
      4000, 316.003585,  28.867600
      4100, 316.000779,  28.867599
      4200, 315.998008,  28.867597
      4300, 315.995269,  28.867596
      4400, 315.992562,  28.867594
      4500, 315.989886,  28.867593
      4600, 315.987239,  28.867591
      4700, 315.984620,  28.867590
      4800, 315.982030,  28.867589
      4900, 315.979466,  28.867587
      5000, 315.976928,  28.867586
      5100, 315.974416,  28.867584
      5200, 315.971927,  28.867583
      5300, 315.969463,  28.867581
      5400, 315.967022,  28.867580
      5500, 315.964603,  28.867578
      5600, 315.962206,  28.867577
      5700, 315.959831,  28.867576
      5800, 315.957476,  28.867574
      5900, 315.955141,  28.867573
      6000, 315.952827,  28.867571
      6100, 315.950531,  28.867570
      6200, 315.948254,  28.867568
      6300, 315.945995,  28.867567
      6400, 315.943754,  28.867565
      6500, 315.941531,  28.867564
      6600, 315.939324,  28.867563
      6700, 315.937134,  28.867561
      6800, 315.934961,  28.867560
      6900, 315.932803,  28.867558
      7000, 315.930661,  28.867557
      7100, 315.928534,  28.867555
      7200, 315.926422,  28.867554
      7300, 315.924325,  28.867552
      7400, 315.922242,  28.867551
      7500, 315.920173,  28.867550
      7600, 315.918118,  28.867548
      7700, 315.916076,  28.867547
      7800, 315.914047,  28.867545
      7900, 315.912032,  28.867544
      8000, 315.910029,  28.867542
      8100, 315.908038,  28.867541
      8200, 315.906060,  28.867539
      8300, 315.904094,  28.867538
      8400, 315.902139,  28.867537
      8500, 315.900196,  28.867535
      8600, 315.898265,  28.867534
      8700, 315.896345,  28.867532
      8800, 315.894435,  28.867531
      8900, 315.892537,  28.867529
      9000, 315.890649,  28.867528
      9100, 315.888772,  28.867526
      9200, 315.886904,  28.867525
      9300, 315.885047,  28.867524
      9400, 315.883200,  28.867522
      9500, 315.881363,  28.867521
      9600, 315.879535,  28.867519
      9700, 315.877717,  28.867518
      9800, 315.875908,  28.867516
      9900, 315.874109,  28.867515
     10000, 315.872318,  28.867513
     10100, 315.870536,  28.867512
     10200, 315.868764,  28.867511
     10300, 315.866999,  28.867509
     10400, 315.865244,  28.867508
     10500, 315.863496,  28.867506
     10600, 315.861757,  28.867505
     10700, 315.860027,  28.867503
     10800, 315.858304,  28.867502
     10900, 315.856589,  28.867500
     11000, 315.854882,  28.867499
     11100, 315.853183,  28.867498
     11200, 315.851491,  28.867496
     11300, 315.849807,  28.867495
     11400, 315.848130,  28.867493
     11500, 315.846461,  28.867492
     11600, 315.844799,  28.867490
     11700, 315.843144,  28.867489
     11800, 315.841496,  28.867487
     11900, 315.839855,  28.867486
     12000, 315.838221,  28.867485
     12100, 315.836594,  28.867483
     12200, 315.834973,  28.867482
     12300, 315.833359,  28.867480
     12400, 315.831752,  28.867479
     12500, 315.830151,  28.867477
     12600, 315.828556,  28.867476
     12700, 315.826968,  28.867474
     12800, 315.825386,  28.867473
     12900, 315.823810,  28.867472
     13000, 315.822240,  28.867470
     13100, 315.820677,  28.867469
     13200, 315.819119,  28.867467
     13300, 315.817567,  28.867466
     13400, 315.816021,  28.867464
     13500, 315.814480,  28.867463
     13600, 315.812946,  28.867462
     13700, 315.811417,  28.867460
     13800, 315.809893,  28.867459
     13900, 315.808375,  28.867457
     14000, 315.806862,  28.867456
     14100, 315.805355,  28.867454
     14200, 315.803853,  28.867453
     14300, 315.802357,  28.867451
     14400, 315.800865,  28.867450
     14500, 315.799379,  28.867449
     14600, 315.797898,  28.867447
     14700, 315.796422,  28.867446
     14800, 315.794951,  28.867444
     14900, 315.793485,  28.867443
     15000, 315.792024,  28.867441
     15100, 315.790568,  28.867440
     15200, 315.789116,  28.867438
     15300, 315.787669,  28.867437
     15400, 315.786227,  28.867436
     15500, 315.784790,  28.867434
     15600, 315.783357,  28.867433
     15700, 315.781929,  28.867431
     15800, 315.780505,  28.867430
     15900, 315.779086,  28.867428
     16000, 315.777672,  28.867427
     16100, 315.776261,  28.867425
     16200, 315.774855,  28.867424
     16300, 315.773454,  28.867423
     16400, 315.772057,  28.867421
     16500, 315.770664,  28.867420
     16600, 315.769275,  28.867418
     16700, 315.767890,  28.867417
     16800, 315.766509,  28.867415
     16900, 315.765133,  28.867414
     17000, 315.763761,  28.867412
     17100, 315.762392,  28.867411
     17200, 315.761028,  28.867410
     17300, 315.759668,  28.867408
     17400, 315.758311,  28.867407
     17500, 315.756958,  28.867405
     17600, 315.755610,  28.867404
     17700, 315.754265,  28.867402
     17800, 315.752924,  28.867401
     17900, 315.751586,  28.867399
     18000, 315.750253,  28.867398
     18100, 315.748923,  28.867397
     18200, 315.747596,  28.867395
     18300, 315.746274,  28.867394
     18400, 315.744955,  28.867392
     18500, 315.743639,  28.867391
     18600, 315.742327,  28.867389
     18700, 315.741019,  28.867388
     18800, 315.739714,  28.867386
     18900, 315.738412,  28.867385
     19000, 315.737114,  28.867384
     19100, 315.735820,  28.867382
     19200, 315.734528,  28.867381
     19300, 315.733240,  28.867379
     19400, 315.731956,  28.867378
     19500, 315.730675,  28.867376
     19600, 315.729397,  28.867375
     19700, 315.728122,  28.867373
     19800, 315.726850,  28.867372
     19900, 315.725582,  28.867371
     20000, 315.724317,  28.867369
     20100, 315.723055,  28.867368
     20200, 315.721796,  28.867366
     20300, 315.720540,  28.867365
     20400, 315.719287,  28.867363
     20500, 315.718038,  28.867362
     20600, 315.716791,  28.867360
     20700, 315.715548,  28.867359
     20800, 315.714307,  28.867358
     20900, 315.713070,  28.867356
