     N      ref      u2_0      u2_1     u2_2     u4_0      u4_1      u4_2      error
      4096 0.003359 0.001618 0.001571 0.000003 0.000002 0.000002 0.000003 9.095e-13
     36864 0.025718 0.012355 0.012038 0.000024 0.000016 0.000014 0.000024 2.910e-11
     69632 0.041270 0.020586 0.020591 0.000044 0.000027 0.000021 0.000044 1.819e-11
    102400 0.060539 0.030279 0.030283 0.000065 0.000039 0.000032 0.000065 4.475e-10
    135168 0.079992 0.040547 0.040025 0.000083 0.000047 0.000041 0.000062 2.910e-10
    167936 0.101177 0.049889 0.049874 0.000100 0.000057 0.000051 0.000081 2.328e-10
    200704 0.118963 0.059759 0.059742 0.000119 0.000067 0.000061 0.000094 6.548e-10
    233472 0.138796 0.070036 0.069887 0.000139 0.000080 0.000073 0.000111 1.528e-10
    266240 0.158347 0.083067 0.083607 0.000168 0.000095 0.000094 0.000157 6.112e-10
    299008 0.181823 0.091569 0.091520 0.000184 0.000104 0.000100 0.000149 1.353e-09
    331776 0.211824 0.130488 0.124284 0.000235 0.000136 0.000150 0.000195 1.746e-10
    364544 0.228359 0.121648 0.117626 0.000235 0.000144 0.000137 0.000210 4.802e-10
    397312 0.242963 0.132057 0.136202 0.000279 0.000194 0.000167 0.000255 1.513e-09
    430080 0.267453 0.154037 0.153993 0.000318 0.000187 0.000194 0.000290 2.387e-09
    462848 0.286945 0.166381 0.166119 0.000331 0.000212 0.000221 0.000337 2.648e-09
    495616 0.311673 0.179336 0.180943 0.000363 0.000234 0.000247 0.000359 4.540e-09
    528384 0.332418 0.197993 0.194496 0.000401 0.000279 0.000272 0.000377 9.895e-10
    561152 0.351887 0.210533 0.210270 0.000471 0.000325 0.000333 0.000445 1.834e-09
    593920 0.375988 0.229150 0.228134 0.000451 0.000305 0.000323 0.000422 3.754e-09
    626688 0.398337 0.233475 0.238830 0.000483 0.000337 0.000342 0.000453 5.326e-09
    659456 0.420701 0.251474 0.255854 0.000521 0.000366 0.000361 0.000497 4.278e-09
    692224 0.440403 0.270053 0.268610 0.000561 0.000398 0.000407 0.000515 4.366e-09
    724992 0.464607 0.281365 0.282061 0.000570 0.000414 0.000407 0.000550 2.590e-09
    757760 0.486481 0.294987 0.300199 0.000615 0.000429 0.000437 0.000573 7.538e-09
    790528 0.510556 0.309191 0.308752 0.000630 0.000460 0.000453 0.000599 2.037e-10
    823296 0.539463 0.321428 0.319837 0.000660 0.000474 0.000481 0.000627 1.950e-09
    856064 0.563700 0.334327 0.334018 0.000738 0.000562 0.000548 0.000707 5.675e-09
    888832 0.591170 0.346110 0.359796 0.000743 0.000556 0.000551 0.000688 2.037e-09
    921600 0.612854 0.370863 0.360312 0.000749 0.000553 0.000557 0.000719 9.954e-09
    954368 0.645841 0.375625 0.389040 0.000776 0.000574 0.000581 0.000782 7.421e-09
    987136 0.696824 0.406302 0.399779 0.000813 0.000610 0.000622 0.000807 5.937e-09
   1019904 0.714781 0.475827 0.483515 0.000852 0.000641 0.000644 0.000823 4.802e-09
   1052672 0.732472 0.481870 0.416603 0.000875 0.000647 0.000655 0.000825 1.473e-08
   1085440 0.742834 0.426124 0.477383 0.000911 0.000693 0.000700 0.000878 1.234e-08
   1118208 0.766366 0.453943 0.446552 0.000895 0.000698 0.000697 0.000887 3.201e-09
   1150976 0.794997 0.471203 0.455394 0.000969 0.000715 0.000742 0.000940 7.509e-09
   1183744 0.810182 0.484079 0.482375 0.000986 0.000753 0.000744 0.000945 1.950e-08
   1216512 0.837336 0.506166 0.493458 0.001040 0.000829 0.000816 0.001026 3.667e-09
   1249280 0.868749 0.512972 0.514241 0.001049 0.000811 0.000836 0.001079 8.673e-09
   1282048 0.898467 0.536397 0.541332 0.001129 0.000846 0.000855 0.001110 3.201e-09
   1314816 0.919784 0.551585 0.529725 0.001095 0.000828 0.000833 0.001050 1.059e-08
